video_id,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,label
ILwLN6hV-X8,"Stranger Things 4 | Eleven, are you listening? | Netflix","Stranger Things",44,2021-05-06T13:00:00.000Z,"caleb mclaughlin"|"charlie heaton"|"chief hopper"|"david harbour"|"dustin"|"eleven"|"finn wolfhard"|"gaten matarazzo"|"hawkins"|"hopper"|"joe keery"|"jonathan byers"|"joyce byers"|"lucas sinclair"|"max stranger things"|"maya hawke"|"mike wheeler"|"millie bobby brown"|"nancy wheeler"|"natalia dyer"|"noah schnapp"|"robin stranger things"|"sadie sink"|"st"|"st3"|"st4"|"steve harrington"|"stranger things"|"stranger things 3"|"stranger things 4"|"will byers"|"winona ryder",2225291,190000,1000,1
zldEWWyw-RM,"Canelo & Billy Joe Saunders Exchange Words At Final Press Conference","DAZN Boxing",17,2021-05-06T18:11:05.000Z,"dazn"|"boxing"|"highlights"|"full fight"|"ko"|"knockout"|"ryan garcia"|"top 10"|"canelo"|"anthony joshua"|"ggg"|"haney"|"saunders"|"billy joe saunders"|"tom saunders"|"presser"|"face off"|"press conference"|"eddie hearn",432355,6300,219,1
8HLvVxJdbYI,"GENDER REVEAL TIME....EP 1","AlondraDessy",22,2021-05-05T20:01:47.000Z,"alondradessy"|"benny soliven"|"alo and benny gender reveal"|"Laura mellado"|"Louies life"|"paeka"|"elsy guevara"|"juju and des"|"ace family"|"gender reveal"|"alondra and benny"|"alondra ortiz"|"les do makeup"|"bramty",1655060,129000,5000,1
z9eoubnO-pE,"Starship | SN15 | High-Altitude Flight Test","SpaceX",28,2021-05-05T22:35:45.000Z,"SpaceX"|"Space"|"Elon Musk"|"Musk"|"Starship"|"SN8"|"Test Flight"|"Suborbital"|"12.5km"|"15km"|"Boca Chica"|"Mars"|"Cameron County",4002769,145000,1400,1
cYKCWntmG-c,"Kevin O'Leary Reacts: Living On $6 Million A Year In Ventura, CA | Millennial Money","CNBC Make It",25,2021-05-06T16:00:16.000Z,"CNBC"|"​CNBCMakeIt"|"​MillennialMoney",85066,3900,63,0.0
x0tcRqf7ciY,"How one design flaw almost toppled a skyscraper - Alex Gendler","TED-Ed",27,2021-05-06T15:00:53.000Z,"citicorp tower"|"citicorp tower design flaw"|"citicorp center"|"citicorp center saved by student"|"skyscraper"|"skyscraper design"|"diane hartley"|"diane hartley citicorp"|"manhattan"|"william lemessurier"|"exoskeleton"|"exoskeleton building"|"tuned mass damper"|"counterweight"|"hurricane ella"|"newspaper strike"|"nyc skyscraper"|"skyscraper fall"|"engineering"|"architecture"|"building design"|"engineering mistakes"|"education"|"animation"|"alex gendler"|"Alopra Studio"|"TED"|"TED-Ed"|"TED Ed"|"Ted Education",109258,6400,61,0.0
eVdP6iVVoZA,"Tiniest Pittie Puppy Heals A Stray Dog's Heart | The Dodo Pittie Nation","The Dodo",15,2021-05-05T16:00:29.000Z,“animal video”|”animals”|”the dodo”|”Animal Rescue”|”dodo”|”cute animals”|”pets”|”wildlife”|”pet videos”|”wildlife videos”|”animals the dodo”|”the dodo animals”|”rescuing animals”|”The Dodo Pittie Nation”|”Pittie Nation”|”pittie nation the dodo”|”pitties”|”pit bull”|”pit bull puppy”|”pittie puppy”|”the dodo pitties”|”the dodo pit bull”|”big dog and small dog”|”puppy and big dog”|”the dodo dogs”,443758,22000,108,0.0
S2juOsIW3tA,"Adley Rescue Mission!! Riding with Spirit the Horse to save a friend! an untamed family adventure","A for Adley - Learning & Fun",21,2021-05-05T15:03:45.000Z,“adley”|”shonduras”|”best day ever”|”family fun”|”a for adley”|”fair”|”baby”|”niko”|”brother”|”farm animals”|”farm chores”|”routine”|”evening routine”|”presents”|”cute”|”cute animals”|”spirit the horse”|”rides”|”riding”|”surprise”|”ultimate”|”pretend”|”play”|”birthday”|”birthday special”|”ice cream”|”animals”|”train”|”natural disaster”|”Rescue Mission”|”gifts”|”spirit”|”lucky”|”pru”|”chica linda”|”spirit untamed”|”untamed”,368450,3600,529,0.0
mVXwwdXPvNk,"A-37 Super Tweet - Cessna with a 3,000 Rounds per Minute Minigun - Vietnam War Legend","Dark Skies",2,2021-05-04T18:40:33.000Z,“cessna”|”a37”|”a-37”|”airplane”|”plane”|”aircraft”|”jet”|”aviation”|”air force”|”us air force”|”usaf”|”vietnam”|”vietnam war”|”history”|”history channel”|”documentary”|”documentary channel”|”aviation channel”|”dark skies”|”darkdocs”|”dark docs”|”super tweet”|”dragonfly”,403779,11000,241,0.0
xFGGLvbXRLw,"Republicans Lash Out at Liz Cheney for Not Supporting Trump's Big Lie: A Closer Look","Late Night with Seth Meyers",24,2021-05-06T01:00:09.000Z,“Late”|”Night”|”with”|”Seth”|”Meyers”|”Sen. Amy Klobuchar”|”Robin Thede”|”Ryan Hurd with Maren Morris”|”NBC”|”NBC TV”|”television”|”funny”|”talk show”|”comedy”|”humor”|”stand-up”|”parody”|”snl seth meyers”|”host”|”promo”|”seth”|”meyers”|”weekend update”|”news satire”|”satire”|”Joe Biden”|”Biden”|”Kamala Harris”|”Kamala”|”White House”|”politics”|”news”|”current news”|”Trump”|”Donald Trump”|”President”|”Vice President”,1248775,27000,657,0.0
Of5zwpqGojQ,"Shaqtin' A Fool: Halftime Break Edition","ShaQtime",17,2021-05-06T18:01:01.000Z,"shaqtin a fool”|”Shaqtin' A Fool: Halftime Break Edition”|”halftime break edition”|”lebron james”|”shaquille oneal”|”fans”|”dance cam”|”referee”|”stephen curry”|”mascots”|”kids”|”half court shot”|”dwyane wade”|”allen iverson”|”coaches”|”charles barkley”|”dancing”|”halftime show”|”halftime”|”NBA”|”best”|”funny”|”bloopers”|”fails”|”basketball”|”sports”|”highlights”|”game”|”moments",38027,896,19,0
5xaiLn7eU20,"Centerfielder steals ball from left fielder, a breakdown","Jomboy Media",17,2021-05-04T21:50:28.000Z,“a breakdown”|”mlb”|”jomboy videos”|”jomboy”|”jake sucks”|”talkin yanks”|”jomboy podcast”|”tv podcast”|”just talkin podcast”|”mlb breakdowns”|”Talkin yanks”|”jomboy jake radio”,552141,20000,181,0
0DUuT0gA-SE,"Find a Roblox Snack at 4 AM...","ItsFunneh",20,2021-05-03T19:00:01.000Z,“itsfunneh”|”funneh”|”funny moments”|”funny”|”krew”|”krew plays”|”gaming”|”games”,1844899,58000,867,0
bCIOeBLIWsM,"As India spirals, a 26-year-old decides who survives","Reuters",25,2021-05-05T14:49:37.000Z,“reuters”|”business”|”finance”|”news”|”politics”|”top news”|”headlines”|”breaking news”|”news today”|”bloomberg”|”thomson reuters”|”Joe Biden”|”india”|”covid-19”|”coronavirus”|”india oxygen”|”india coronavirus”|”India record new cases”|”Indian hospitals out of oxygen”|”India oxygen supplies”|”India health care crisis”|”India COVID crisis”|”India COVID death toll”|”India’s COVID deaths top 225000”|”225000 COVID deaths”|”India ignored COVID warnings”|”Modi government”|”India health system crumbles”|”hospital beds”,156308,963,754,0
W1gX8-vysoo,"Meghan Markle Writing a BOOK... But It's Not What You Think!","Entertainment Tonight",24,2021-05-04T21:30:02.000Z,“Meghan Markle”|”Prince Harry”|”Royals”|”Meghan Markle book”|”Meghan Markle the bench”|”Meghan Markle new book”|”meghan markle children's book”|”Harry and Meghan”|”Entertainment Tonight”|”etonline”|”et online”|”celebrity”|”Hollywood”|”news”|”trending”|”et”|”et tonight”,59642,1000,574,0
3CYXYxvJIZg,"Among Us But Impostor Is A Ghost","STA Studios",20,2021-05-03T17:24:18.000Z,"[None]",911629,33000,750,0
VIUo6yapDbc,"Ultimate DIY Home Movie Theater for The LaBrant Family!","Mr. Kate",26,"2020-08-11T15:10:05.000Z","The LaBrant Family”|”DIY”|”Interior Design”|”Makeover”|”Decorating”|”DIY Movie Theater”|”Home Movie Theater”|”Movie Theater”|”Stay Home”|”Cole LaBrant”|”Savannah LaBrant”|”Kate Albrecht”|”Joey Zehr”|”mr. Kate”|”mr kate”|”luxurious”|”red”|”beautiful”|”LifeLock Norton 360”|”Norton”|”LifeLock”|”Real estate scams”|”Home title scams”|”Identity Theft”|”Cyber Security”|”Cyber Safety”|”lux”|”collab”|”omg we're coming over”|”youtubers”|”home makeover”|”nursery makeover”|”home theater",1123889,45802,964,1
3C66w5Z0ixs,"I ASKED HER TO BE MY GIRLFRIEND...",”Brawadis”,22,2020-08-11T19:20:14.000Z,"brawadis”|”prank”|”basketball”|”skits”|”ghost”|”funny videos”|”vlog”|”vlogging”|”NBA”|”browadis”|”challenges”|”bmw i8”|”faze rug”|”faze rug brother”|”mama rug and papa rug",1514614,156908,5855,1